root_id,primary_type,additional_types,super_class,flow,side,nt_type,nt_type_score
720575940628577167,T5d,,optic,intrinsic,left,ACH,0.53
720575940632485945,T5d,,optic,intrinsic,left,ACH,0.49
720575940620700190,T5c,,optic,intrinsic,left,ACH,0.58
720575940628339912,T5d,,optic,intrinsic,left,ACH,0.44
720575940628420552,T5a,,optic,intrinsic,left,ACH,0.52
720575940608972739,T5c,,optic,intrinsic,left,ACH,0.59
720575940615105130,T5d,,optic,intrinsic,left,ACH,0.56
720575940624446717,T5d,,optic,intrinsic,left,ACH,0.41
720575940634372600,T5d,,optic,intrinsic,left,ACH,0.57
720575940635630584,T5a,,optic,intrinsic,left,ACH,0.55
720575940636849509,T5d,,optic,intrinsic,left,ACH,0.62
720575940619863431,T5d,,optic,intrinsic,left,ACH,0.63
720575940629124355,T5d,,optic,intrinsic,left,ACH,0.64
720575940629477627,T5d,,optic,intrinsic,left,ACH,0.6
720575940620031111,T4d,,optic,intrinsic,left,ACH,0.52
720575940630245431,T4c,,optic,intrinsic,left,ACH,0.61
720575940631876153,T5a,,optic,intrinsic,left,ACH,0.68
720575940637450864,T4d,,optic,intrinsic,left,ACH,0.61
720575940635947700,T5c,,optic,intrinsic,left,ACH,0.5
720575940624454664,T5c,,optic,intrinsic,left,ACH,0.62
720575940614255341,T4d,,optic,intrinsic,left,ACH,0.55
720575940618305108,T5c,,optic,intrinsic,left,ACH,0.66
720575940620656775,T5c,,optic,intrinsic,left,,0.0
720575940622431582,T5c,,optic,intrinsic,left,ACH,0.51
720575940634880412,T5c,,optic,intrinsic,left,,0.0
720575940646966819,T4c,,optic,intrinsic,left,ACH,0.55
720575940631173906,T5b,,optic,intrinsic,left,ACH,0.7
720575940605613926,T5d,,optic,intrinsic,left,,0.0
720575940608419676,T5c,,optic,intrinsic,left,,0.0
720575940620754285,T5d,,optic,intrinsic,left,,0.0
720575940621906312,T5c,,optic,intrinsic,left,ACH,0.53
720575940623114948,T5b,,optic,intrinsic,left,ACH,0.63
720575940632520495,T5c,,optic,intrinsic,left,ACH,0.64
720575940629606394,T5b,,optic,intrinsic,left,ACH,0.64
720575940633668322,T5d,,optic,intrinsic,left,ACH,0.53
720575940617205590,T5d,,optic,intrinsic,left,ACH,0.51
720575940630011434,T5a,,optic,intrinsic,left,ACH,0.7
720575940646783267,T5b,,optic,intrinsic,left,ACH,0.45
720575940629181739,T4a,,optic,intrinsic,left,ACH,0.71
720575940630451415,T4a,,optic,intrinsic,left,ACH,0.71
720575940618908062,T5c,,optic,intrinsic,left,ACH,0.45
720575940630195326,T5c,,optic,intrinsic,left,ACH,0.57
720575940637407814,T5b,,optic,intrinsic,left,ACH,0.57
720575940605676646,T5c,,optic,intrinsic,left,ACH,0.67
720575940605686956,T4c,,optic,intrinsic,left,ACH,0.73
720575940611079010,T4b,,optic,intrinsic,left,ACH,0.68
720575940614341954,T4d,,optic,intrinsic,left,GABA,0.38
720575940631821672,T4c,,optic,intrinsic,left,ACH,0.68
720575940620657428,T5c,,optic,intrinsic,left,,0.0
720575940623159134,T5d,,optic,intrinsic,left,,0.0
720575940605737318,T5d,,optic,intrinsic,left,ACH,0.58
720575940623049752,T5a,,optic,intrinsic,left,ACH,0.54
720575940624817726,T5d,,optic,intrinsic,left,ACH,0.56
720575940639455696,T5c,,optic,intrinsic,left,ACH,0.62
720575940639999139,T5d,,optic,intrinsic,left,,0.0
720575940644933655,T5d,,optic,intrinsic,left,ACH,0.41
720575940616704596,T5c,,optic,intrinsic,left,ACH,0.59
720575940620075686,T5d,,optic,intrinsic,left,ACH,0.65
720575940640566845,T4c,,optic,intrinsic,left,ACH,0.51
720575940617826397,T5c,,optic,intrinsic,left,ACH,0.62
720575940619058772,T5d,,optic,intrinsic,left,ACH,0.51
720575940619987659,T5a,,optic,intrinsic,left,ACH,0.57
720575940614932191,T5b,,optic,intrinsic,left,,0.0
720575940622530892,T5c,,optic,intrinsic,left,ACH,0.57
720575940631306255,T5d,,optic,intrinsic,left,ACH,0.43
720575940620152199,T4b,,optic,intrinsic,left,ACH,0.69
720575940620124513,T5d,,optic,intrinsic,left,ACH,0.58
720575940627633992,T5c,,optic,intrinsic,left,ACH,0.52
720575940637694692,T5d,,optic,intrinsic,left,ACH,0.76
720575940630254583,T4d,,optic,intrinsic,left,,0.0
720575940618881950,T5d,,optic,intrinsic,left,ACH,0.59
720575940622610183,T5c,,optic,intrinsic,left,ACH,0.47
720575940605813350,T5d,,optic,intrinsic,left,,0.0
720575940614677702,T5b,,optic,intrinsic,left,ACH,0.59
720575940617099125,T5d,,optic,intrinsic,left,ACH,0.67
720575940623381453,T5d,,optic,intrinsic,left,ACH,0.61
720575940628823811,T5a,,optic,intrinsic,left,ACH,0.42
720575940638180186,T5c,,optic,intrinsic,left,ACH,0.55
720575940623683255,T4a,,optic,intrinsic,left,ACH,0.5
720575940629701246,T5a,,optic,intrinsic,left,ACH,0.52
720575940613317859,T5b,,optic,intrinsic,left,ACH,0.48
720575940621439216,T5c,,optic,intrinsic,left,ACH,0.47
720575940619763915,T4c,,optic,intrinsic,left,ACH,0.53
720575940614695599,T5d,,optic,intrinsic,left,ACH,0.54
720575940616298290,T5d,,optic,intrinsic,left,ACH,0.51
720575940618040404,T5c,,optic,intrinsic,left,ACH,0.61
720575940627179913,T5d,,optic,intrinsic,left,ACH,0.55
720575940611281870,T5d,,optic,intrinsic,left,ACH,0.6
720575940619934680,T5c,,optic,intrinsic,left,ACH,0.61
720575940632178503,T5c,,optic,intrinsic,left,ACH,0.64
720575940614816150,T5a,,optic,intrinsic,left,ACH,0.63
720575940626906686,T5c,,optic,intrinsic,left,,0.0
720575940631103094,T5d,,optic,intrinsic,left,ACH,0.59
720575940635592372,T5b,,optic,intrinsic,left,ACH,0.48
720575940642508429,T4c,,optic,intrinsic,left,ACH,0.59
720575940605908326,T4a,,optic,intrinsic,left,ACH,0.51
720575940620865473,T4d,,optic,intrinsic,left,ACH,0.71
720575940605938110,T5b,,optic,intrinsic,left,ACH,0.45
720575940617953793,T4a,,optic,intrinsic,left,ACH,0.55
720575940622031130,T4a,,optic,intrinsic,left,ACH,0.51
720575940623305229,T4d,,optic,intrinsic,left,ACH,0.44
720575940625148199,T4d,,optic,intrinsic,left,ACH,0.52
720575940626311461,T4d,,optic,intrinsic,left,ACH,0.44
720575940627998632,T5a,,optic,intrinsic,left,,0.0
720575940644320928,T4d,,optic,intrinsic,left,GABA,0.52
720575940605955174,T5c,,optic,intrinsic,left,ACH,0.45
720575940617645213,T4b,,optic,intrinsic,left,ACH,0.51
720575940635698936,T5a,,optic,intrinsic,left,,0.0
720575940631980136,T5b,,optic,intrinsic,left,ACH,0.44
720575940613110442,T5c,,optic,intrinsic,left,ACH,0.66
720575940624934328,T5c,,optic,intrinsic,left,ACH,0.5
720575940628810570,T5d,,optic,intrinsic,left,ACH,0.46
720575940632680855,T5c,,optic,intrinsic,left,ACH,0.6
720575940605985382,T5b,,optic,intrinsic,left,ACH,0.73
720575940619431047,T4c,,optic,intrinsic,left,ACH,0.57
720575940639544373,T4d,,optic,intrinsic,left,ACH,0.62
720575940626543893,T4d,,optic,intrinsic,left,ACH,0.59
720575940643146788,T4c,,optic,intrinsic,left,ACH,0.58
720575940611239378,T4d,,optic,intrinsic,left,,0.0
720575940628234312,T5d,,optic,intrinsic,left,,0.0
720575940622341363,T5d,,optic,intrinsic,left,,0.0
720575940626501378,T5d,,optic,intrinsic,left,ACH,0.48
720575940632150412,T5b,,optic,intrinsic,left,ACH,0.4
720575940640224600,T5c,,optic,intrinsic,left,ACH,0.5
720575940606053566,T5a,,optic,intrinsic,left,ACH,0.57
720575940616595165,T5d,,optic,intrinsic,left,ACH,0.45
720575940619260795,T5d,,optic,intrinsic,left,,0.0
720575940620440199,T5c,,optic,intrinsic,left,ACH,0.4
720575940622843113,T5a,,optic,intrinsic,left,ACH,0.49
720575940640096419,T5b,,optic,intrinsic,left,,0.0
720575940621731056,T4a,,optic,intrinsic,left,ACH,0.53
720575940634732439,T4b,,optic,intrinsic,left,ACH,0.54
720575940638428479,T5b,,optic,intrinsic,left,ACH,0.55
720575940625867466,T5d,,optic,intrinsic,left,ACH,0.64
720575940645635875,T5b,,optic,intrinsic,left,,0.0
720575940620702703,T5d,,optic,intrinsic,left,ACH,0.44
720575940627844117,T5a,,optic,intrinsic,left,ACH,0.55
720575940629599350,T5a,,optic,intrinsic,left,ACH,0.5
720575940612008154,T4c,,optic,intrinsic,left,ACH,0.6
720575940624483592,T4d,,optic,intrinsic,left,ACH,0.53
720575940612507885,T5d,,optic,intrinsic,left,ACH,0.52
720575940625044715,T5b,,optic,intrinsic,left,ACH,0.52
720575940633731423,T5a,,optic,intrinsic,left,ACH,0.43
720575940606104254,T5a,,optic,intrinsic,left,ACH,0.51
720575940606106801,T5d,,optic,intrinsic,left,ACH,0.52
720575940632426660,T5d,,optic,intrinsic,left,,0.0
720575940634222687,T5b,,optic,intrinsic,left,ACH,0.6
720575940644143982,T5b,,optic,intrinsic,left,ACH,0.74
720575940623805674,T5c,,optic,intrinsic,left,ACH,0.64
720575940626539010,T5d,,optic,intrinsic,left,ACH,0.53
720575940636247141,T5c,,optic,intrinsic,left,ACH,0.51
720575940627056113,T5c,,optic,intrinsic,left,ACH,0.56
720575940631020027,T5c,,optic,intrinsic,left,,0.0
720575940619997269,T4d,,optic,intrinsic,left,ACH,0.51
720575940628211219,T4c,,optic,intrinsic,left,ACH,0.7
720575940607415817,T5d,,optic,intrinsic,left,,0.0
720575940617108786,T5c,,optic,intrinsic,left,ACH,0.51
720575940620191764,T5d,,optic,intrinsic,left,ACH,0.63
720575940639605107,T5c,,optic,intrinsic,left,ACH,0.4
720575940640707536,T5b,,optic,intrinsic,left,ACH,0.55
720575940607599305,T5b,,optic,intrinsic,left,ACH,0.56
720575940613034202,T5d,,optic,intrinsic,left,ACH,0.58
720575940631350287,T5c,,optic,intrinsic,left,ACH,0.56
720575940632887085,T5a,,optic,intrinsic,left,ACH,0.58
720575940630946647,T5c,,optic,intrinsic,left,ACH,0.55
720575940638535502,T5d,,optic,intrinsic,left,ACH,0.48
720575940606192049,T5a,,optic,intrinsic,left,ACH,0.73
720575940623271306,T4d,,optic,intrinsic,left,ACH,0.53
720575940606213664,T4c,,optic,intrinsic,left,ACH,0.77
720575940608209842,T5a,,optic,intrinsic,left,ACH,0.67
720575940612686834,T5c,,optic,intrinsic,left,ACH,0.54
720575940613262870,T5c,,optic,intrinsic,left,ACH,0.58
720575940617509947,T5b,,optic,intrinsic,left,ACH,0.48
720575940618343252,T5d,,optic,intrinsic,left,ACH,0.48
720575940623729190,T5d,,optic,intrinsic,left,ACH,0.54
720575940621682164,T5b,,optic,intrinsic,left,,0.0
720575940608720597,T5c,,optic,intrinsic,left,ACH,0.62
720575940612492211,T5d,,optic,intrinsic,left,ACH,0.58
720575940612863283,T5c,,optic,intrinsic,left,ACH,0.48
720575940613674280,T5c,,optic,intrinsic,left,ACH,0.48
720575940617170978,T5d,,optic,intrinsic,left,ACH,0.6
720575940617997917,T5c,,optic,intrinsic,left,ACH,0.75
720575940620569537,T5b,,optic,intrinsic,left,ACH,0.49
720575940621091425,T5d,,optic,intrinsic,left,,0.0
720575940621332596,T5b,,optic,intrinsic,left,ACH,0.47
720575940625054460,T5b,,optic,intrinsic,left,ACH,0.59
720575940625297916,T5b,,optic,intrinsic,left,ACH,0.46
720575940628800784,T5c,,optic,intrinsic,left,,0.0
720575940629385342,T5c,,optic,intrinsic,left,ACH,0.47
720575940630299434,T5a,,optic,intrinsic,left,ACH,0.48
720575940630334940,T5c,,optic,intrinsic,left,ACH,0.64
720575940632878649,T5d,,optic,intrinsic,left,,0.0
720575940626158384,T5d,,optic,intrinsic,left,ACH,0.51
720575940626215568,T5b,,optic,intrinsic,left,ACH,0.53
720575940630729580,T5d,,optic,intrinsic,left,ACH,0.4
720575940627733125,T5d,,optic,intrinsic,left,ACH,0.45
720575940639176576,T4a,,optic,intrinsic,left,,0.0
720575940639737934,T5d,,optic,intrinsic,left,,0.0
720575940606281574,T5d,,optic,intrinsic,left,,0.0
720575940606296497,T5c,,optic,intrinsic,left,GLUT,0.45
720575940606336614,T4b,,optic,intrinsic,left,ACH,0.54
720575940619973323,TmY10,,optic,intrinsic,left,ACH,0.83
720575940606340286,T5d,,optic,intrinsic,left,ACH,0.42
720575940630606137,T5a,,optic,intrinsic,left,ACH,0.63
720575940623621926,T4c,,optic,intrinsic,left,ACH,0.63
720575940619285163,T4a,,optic,intrinsic,left,ACH,0.52
720575940609287945,T5a,,optic,intrinsic,left,ACH,0.52
720575940612117978,T5c,,optic,intrinsic,left,ACH,0.66
720575940620816299,T5c,,optic,intrinsic,left,ACH,0.56
720575940621956212,T5c,,optic,intrinsic,left,ACH,0.55
720575940625954341,T5a,,optic,intrinsic,left,ACH,0.44
720575940626364734,T5a,,optic,intrinsic,left,,0.0
720575940638097892,T5c,,optic,intrinsic,left,ACH,0.53
720575940621651233,T5c,,optic,intrinsic,left,ACH,0.64
720575940630081280,T5c,,optic,intrinsic,left,ACH,0.5
720575940613547501,T5d,,optic,intrinsic,left,ACH,0.51
720575940616715421,T5c,,optic,intrinsic,left,ACH,0.57
720575940617841297,T4b,,optic,intrinsic,left,ACH,0.68
720575940622956105,T5a,,optic,intrinsic,left,ACH,0.45
720575940629050630,T5d,,optic,intrinsic,left,ACH,0.6
720575940645193764,T4d,,optic,intrinsic,left,ACH,0.8
720575940616044998,T5b,,optic,intrinsic,left,ACH,0.46
720575940636484453,T5c,,optic,intrinsic,left,ACH,0.48
720575940617161787,T5d,,optic,intrinsic,left,,0.0
720575940632085048,T5d,,optic,intrinsic,left,ACH,0.55
720575940632651940,T5a,,optic,intrinsic,left,ACH,0.59
720575940606562481,T5c,,optic,intrinsic,left,ACH,0.56
720575940623672979,T4c,,optic,intrinsic,left,ACH,0.61
720575940624267923,T4a,,optic,intrinsic,left,ACH,0.43
720575940625523436,T4c,,optic,intrinsic,left,ACH,0.58
720575940626755330,T4c,,optic,intrinsic,left,ACH,0.55
720575940634198684,T4d,,optic,intrinsic,left,ACH,0.46
720575940606594766,T5c,,optic,intrinsic,left,,0.0
720575940621689838,T5d,,optic,intrinsic,left,ACH,0.62
720575940627622673,T5b,,optic,intrinsic,left,ACH,0.49
720575940610756465,T4c,,optic,intrinsic,left,,0.0
