FAFB,MAOL,MCNS
720575940623606227,124786,102173
720575940612669682,124912,102211
720575940646938403,125042,102303
720575940631125156,125115,102503
720575940612477809,125314,102593
720575940610695726,125333,102761
720575940629127759,125380,102777
720575940609545411,125581,102792
720575940609567957,125701,102921
720575940626947736,125722,103026
720575940609635886,126027,103089
720575940609653699,126089,103175
720575940617557204,126182,103232
720575940639523150,126183,103250
720575940609683651,126503,103259
720575940618601893,126674,103486
720575940622776088,126723,103558
720575940631973903,126971,103572
720575940627175623,127053,103660
720575940633070673,127204,103775
720575940641586139,127273,103859
720575940646883875,127369,103872
720575940623897382,127494,103878
720575940633774818,127534,103975
720575940631083727,127613,103983
720575940617290582,127788,104030
720575940623388819,127961,104041
720575940623520211,127998,104103
720575940609848021,128058,104171
720575940609863492,128119,104175
720575940621489846,128587,104183
720575940623522500,129091,104280
720575940631383594,129133,104295
720575940616389430,129236,104355
720575940623694058,129285,104408
720575940609940178,129390,104506
720575940616683826,129613,104534
720575940630087294,129721,104538
720575940633992729,129869,104542
720575940619201413,130042,104556
720575940622737555,130164,104584
720575940627033354,130253,104757
720575940627750555,130345,104804
720575940628725760,130465,104835
720575940629481515,130539,104886
720575940632735140,130611,104921
720575940621518575,130859,105077
720575940634959200,131005,105127
720575940610077635,131233,105164
720575940618095650,131466,105192
720575940620886406,131517,105311
720575940621511796,131532,105467
720575940634020833,131576,105481
720575940628489468,131654,105691
720575940615928635,131756,105776
720575940618906790,131935,105794
720575940620749761,132280,105796
720575940625236234,132565,105853
720575940638029796,132570,105880
720575940618618934,132579,105941
720575940610118468,132620,106041
720575940616189841,133229,106052
720575940621674356,133832,106054
720575940622648790,133918,106055
720575940626972106,133921,106061
720575940637409198,134011,106075
720575940660514945,134143,106080
720575940624865575,134193,106283
720575940619567969,134215,106298
720575940618502091,134330,106342
720575940623253005,134352,106367
720575940624432309,135174,106596
720575940630623819,135308,106643
720575940615518314,135631,106815
720575940618171677,135704,106851
720575940635204031,135708,106986
720575940630509116,135846,107050
720575940616488379,137355,107070
720575940620210054,137408,107177
720575940627277587,138375,107215
720575940622046241,138428,107220
720575940634672736,138665,107302
720575940635523007,138862,107359
720575940624097304,139033,107483
720575940618482013,139203,107503
720575940619324283,139660,107651
720575940638091354,139720,107667
720575940634365852,139750,107675
720575940615144190,139979,107693
720575940621530816,140244,107699
720575940625627320,140248,107774
720575940626113854,140554,107782
720575940622453175,140672,107816
720575940615312746,140988,107822
720575940624486635,141065,107868
720575940624766503,141112,107902
720575940630546231,141412,108006
720575940626260738,141719,108032
720575940618757686,141959,108058
